dev;username;sleepings;hibernations;deads
4610705;mnabialek;[66, 255, 116, 109, 104];[62];[]
9403;vlakoff;[111, 167, 278, 75, 98, 181];[254];[]
8311500;TBlindaruk;[26];[24, 41];[]
35064804;laurencei;[100, 216, 69];[];[]
3007297;lucasmichot;[42, 30, 24, 37, 31, 34, 90, 50, 43, 43, 35, 20];[75, 23, 266];[]
6565194;tillkruss;[40, 18, 13, 50, 59];[90];[]
4292381;halaei;[174, 169];[];[]
1083257;JosephSilber;[146, 93, 98, 102, 55, 135, 63, 83, 106, 140];[];[]
1356449;Staudenmeir;[43, 49, 12];[];[584]
1400269;GrahamCampbell;[40, 29, 40, 13, 22, 14, 11, 20, 23, 33, 25, 53, 28, 25, 16, 17, 16];[33];[]
350920;kennedytedesco;[186];[208];[]
3887444;themsaid;[25, 24, 29, 21, 14, 9, 14, 13, 16, 40, 30, 28, 50, 35, 71];[];[]
1251217;sileence;[145, 110];[263];[]
28974;taylorotwell;[8, 9, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 5, 5, 4, 3, 4, 3, 3, 3, 4, 3, 3, 7, 7, 7];[3, 3, 3, 3, 3];[]
